julian,hour,Ta_sun,Ta_shade,sun_D0cm,shade_D0cm,,,,,,,,
1,0,2.657211785,2.708890052,2.022515037,2.130322148,,,,,,,,
1,60,2.520645916,3.379563263,1.869320369,3.618744972,,,,,,,,
1,120,2.326216754,3.447729409,1.646205841,3.870326399,,,,,,,,
1,180,2.13186852,3.45447931,1.411936102,3.956585502,,,,,,,,
1,240,1.943156426,3.466719775,1.188158962,4.017752091,,,,,,,,
1,300,1.757872703,3.538753481,0.982456969,4.151264479,,,,,,,,
1,360,1.509221032,3.687182863,0.721851303,4.346187994,,,,,,,,
1,420,1.34654002,3.78897491,0.538889732,4.497548946,,,,,,,,
1,480,3.026733984,3.797031864,3.049500487,4.457750255,,,,,,,,
1,540,7.070950509,5.044321992,9.105381057,5.118879506,,,,,,,,
1,600,11.60849615,6.991558831,15.70594581,6.112247332,,,,,,,,
1,660,15.44148192,9.627868622,20.98164244,8.351251482,,,,,,,,
1,720,17.37616055,11.88770207,23.37451992,10.57561549,,,,,,,,
1,780,18.12072069,13.02400464,24.0539105,12.16853652,,,,,,,,
1,840,16.88785078,12.46610316,22.15778136,11.93233226,,,,,,,,
1,900,13.83930639,10.88548748,17.87584204,11.1037805,,,,,,,,
1,960,9.55635141,8.295189749,11.7816213,8.915925687,,,,,,,,
1,1020,6.495312381,6.642286378,7.045757411,7.376649031,,,,,,,,
1,1080,5.259965992,5.82404518,5.121222802,6.379057885,,,,,,,,
1,1140,4.544118194,5.328025487,4.215799179,5.946516957,,,,,,,,
1,1200,3.999131276,4.806223771,3.569392618,5.332942035,,,,,,,,
1,1260,3.570930031,4.515486951,3.082639042,5.124391718,,,,,,,,
1,1320,3.167723937,4.146502907,2.574729783,4.666714448,,,,,,,,
1,1380,2.917101789,3.980195032,2.332602736,4.578082653,,,,,,,,
2,0,2.586603222,3.723444415,1.875217038,4.246805192,,,,,,,,
2,60,2.425742317,3.642363098,1.708800875,4.186676759,,,,,,,,
2,120,2.229224049,3.566231339,1.47843449,4.129643736,,,,,,,,
2,180,2.020762185,3.508358394,1.237519642,4.099095896,,,,,,,,
2,240,1.79346652,3.47630213,0.978705194,4.103242323,,,,,,,,
2,300,1.538066598,3.484064786,0.695508228,4.156632454,,,,,,,,
2,360,1.212367003,3.579967136,0.359655645,4.300087894,,,,,,,,
2,420,1.029011827,3.654458825,0.193987638,4.452222327,,,,,,,,
2,480,2.84026092,3.743101859,2.781691031,4.432928571,,,,,,,,
2,540,6.909256997,4.9509395,8.890862541,5.037448578,,,,,,,,
2,600,11.43193961,6.841848373,15.48583106,5.945068216,,,,,,,,
2,660,15.24308635,9.486224682,20.74622764,8.235643563,,,,,,,,
2,720,17.16318176,11.69699324,23.13026611,10.38000409,,,,,,,,
2,780,17.90080685,12.84732601,23.80488122,12.01728833,,,,,,,,
2,840,16.67852799,12.267179,21.92214154,11.71813329,,,,,,,,
2,900,13.65564813,10.73250242,17.66908716,10.96565467,,,,,,,,
2,960,9.405963613,8.140148116,11.61134658,8.734357536,,,,,,,,
2,1020,6.355096811,6.52910541,6.883584309,7.275437306,,,,,,,,
2,1080,5.124626144,5.688296163,4.961171207,6.218400231,,,,,,,,
2,1140,4.414333509,5.226984724,4.061244925,5.855855173,,,,,,,,
2,1200,3.874139463,4.682062349,3.419981256,5.185763472,,,,,,,,
2,1260,3.449350129,4.420963952,2.936423794,5.037152663,,,,,,,,
2,1320,3.050596438,4.032024766,2.434766938,4.532895532,,,,,,,,
2,1380,2.800464097,3.887876926,2.191178331,4.488544079,,,,,,,,
3,0,2.474866969,3.617610908,1.742134672,4.126563598,,,,,,,,
3,60,2.31287679,3.543476292,1.572980691,4.07982082,,,,,,,,
3,120,2.116127974,3.46898046,1.342010089,4.025090354,,,,,,,,
3,180,1.907067448,3.411901438,1.100111899,3.995228197,,,,,,,,
3,240,1.678698069,3.380149713,0.839902355,3.999267022,,,,,,,,
3,300,1.421415119,3.387954682,0.554593277,4.05229781,,,,,,,,
3,360,1.092178724,3.482364043,0.215226174,4.193793389,,,,,,,,
3,420,0.909720337,3.554030548,0.050316684,4.342355212,,,,,,,,
3,480,2.732653719,3.645652159,2.654043318,4.324587397,,,,,,,,
3,540,6.793206035,4.843392911,8.760320678,4.922283849,,,,,,,,
3,600,11.29146837,6.717517563,15.33255124,5.822343289,,,,,,,,
3,660,15.07637046,9.338800773,20.56897947,8.09667068,,,,,,,,
3,720,16.97750451,11.52630231,22.93605877,10.21733522,,,,,,,,
3,780,17.70703262,12.66692685,23.6026545,11.84309951,,,,,,,,
3,840,16.49426902,12.09113801,21.73103096,11.54332202,,,,,,,,
3,900,13.495395,10.57535568,17.50417094,10.8060996,,,,,,,,
3,960,9.276780249,8.006789835,11.4795456,8.592316559,,,,,,,,
3,1020,6.233727506,6.410308812,6.756013525,7.153762275,,,,,,,,
3,1080,5.007110433,5.572462604,4.833586589,6.094887606,,,,,,,,
3,1140,4.301836663,5.120727272,3.938047032,5.746888796,,,,,,,,
3,1200,3.766085976,4.576834106,3.301164754,5.073559076,,,,,,,,
3,1260,3.344502426,4.322287529,2.820298296,4.934883812,,,,,,,,
3,1320,2.949927854,3.934697752,2.324197665,4.429973093,,,,,,,,
3,1380,2.700350166,3.793816536,2.07912888,4.389826137,,,,,,,,
4,0,2.379385384,3.52587001,1.637668444,4.030453315,,,,,,,,
4,60,2.216767452,3.452727315,1.46629661,3.984571702,,,,,,,,
4,120,2.020375058,3.379233817,1.235303491,3.930764347,,,,,,,,
4,180,1.811489892,3.323028149,0.993221913,3.901628948,,,,,,,,
4,240,1.583068783,3.291974809,0.732673327,3.906144268,,,,,,,,
4,300,1.3253077,3.300216021,0.446675383,3.959293974,,,,,,,,
4,360,0.995013389,3.393901281,0.106103127,4.09972595,,,,,,,,
4,420,0.815060798,3.463593613,-0.056328266,4.246009571,,,,,,,,
4,480,2.647273931,3.557921865,2.562841617,4.229858823,,,,,,,,
4,540,6.697663282,4.745879236,8.66404899,4.820696733,,,,,,,,
4,600,11.1707822,6.603068855,15.21184158,5.711459676,,,,,,,,
4,660,14.92921526,9.202195846,20.42303225,7.969845354,,,,,,,,
4,720,16.81051718,11.36709416,22.77111298,10.06699129,,,,,,,,
4,780,17.53191355,12.49841049,23.4290404,11.68160957,,,,,,,,
4,840,16.32807201,11.92677487,21.56756391,11.381282,,,,,,,,
4,900,13.35183075,10.42877577,17.36509747,10.65827453,,,,,,,,
4,960,9.162268989,7.88282165,11.37089753,8.461382215,,,,,,,,
4,1020,6.12484769,6.299265371,6.648312566,7.041292735,,,,,,,,
4,1080,4.901184835,5.464242124,4.724176329,5.980688851,,,,,,,,
4,1140,4.200491034,5.021432912,3.832291222,5.646135943,,,,,,,,
4,1200,3.668912651,4.478649001,3.199361842,4.969998343,,,,,,,,
4,1260,3.250385682,4.230181282,2.720965525,4.840434146,,,,,,,,
4,1320,2.859757804,3.844006859,2.229974357,4.335158814,,,,,,,,
4,1380,2.61081307,3.706150993,1.983599792,4.298816683,,,,,,,,
5,0,2.294219163,3.440485895,1.549147912,3.942050421,,,,,,,,
5,60,2.131267493,3.368329533,1.375965433,3.897021231,,,,,,,,
5,120,1.935517086,3.295877624,1.145281006,3.84420524,,,,,,,,
5,180,1.727184524,3.240624753,0.903452802,3.815922198,,,,,,,,
5,240,1.499205135,3.21040373,0.643116472,3.821109858,,,,,,,,
5,300,1.24166555,3.219298999,0.357194451,3.87467266,,,,,,,,
5,360,0.911543893,3.312643715,0.016607825,4.01450485,,,,,,,,
5,420,0.735117427,3.380591656,-0.142140788,4.158895261,,,,,,,,
5,480,2.534671381,3.477562109,2.417351958,4.144241216,,,,,,,,
5,540,6.594683176,4.656418481,8.546731433,4.728499043,,,,,,,,
5,600,11.06130335,6.497508807,15.10546021,5.609937626,,,,,,,,
5,660,14.79664906,9.075760686,20.2970343,7.853203443,,,,,,,,
5,720,16.65895722,11.21919139,22.62710859,9.927842463,,,,,,,,
5,780,17.37271239,12.341679,23.27691194,11.53184169,,,,,,,,
5,840,16.17739669,11.77399402,21.4251651,11.23108658,,,,,,,,
5,900,13.22249532,10.2926613,17.24562111,10.52133623,,,,,,,,
5,960,9.034403658,7.768012838,11.22117167,8.340539426,,,,,,,,
5,1020,6.01608892,6.195785028,6.53218596,6.937171177,,,,,,,,
5,1080,4.802396615,5.363334778,4.622610229,5.87473632,,,,,,,,
5,1140,4.107001309,4.928873567,3.736329467,5.552720097,,,,,,,,
5,1200,3.579627169,4.387180487,3.107684338,4.87401714,,,,,,,,
5,1260,3.163965638,4.144364117,2.63153594,4.752864356,,,,,,,,
5,1320,2.777548049,3.759611589,2.146358929,4.247410113,,,,,,,,
5,1380,2.528809059,3.624539478,1.89786295,4.214495653,,,,,,,,
6,0,2.217068575,3.361097841,1.471491155,3.860315629,,,,,,,,
6,60,2.053625019,3.28987608,1.296114066,3.816070697,,,,,,,,
6,120,1.858633689,3.218444564,1.065900678,3.764233827,,,,,,,,
6,180,1.651027633,3.16414543,0.824562968,3.736823986,,,,,,,,
6,240,1.423738162,3.13478628,0.564763422,3.742742544,,,,,,,,
6,300,1.166757714,3.14440876,0.279322982,3.796828337,,,,,,,,
6,360,0.837410945,3.237556292,-0.060674244,3.9362464,,,,,,,,
6,420,0.665295664,3.303787304,-0.214704412,4.078854947,,,,,,,,
6,480,2.474704529,3.40356842,2.363604867,4.065686597,,,,,,,,
6,540,6.525870879,4.574192659,8.49002713,4.643783696,,,,,,,,
6,600,10.96936107,6.400407282,15.02616525,5.51646376,,,,,,,,
6,660,14.68027606,8.959430424,20.19392686,7.746047786,,,,,,,,
6,720,16.52349367,11.0827079,22.50489662,9.799436695,,,,,,,,
6,780,17.22976302,12.19701335,23.14630579,11.39370203,,,,,,,,
6,840,16.04234859,11.63296135,21.30337832,11.09241243,,,,,,,,
6,900,13.1072986,10.16726453,17.14492854,10.39525029,,,,,,,,
6,960,8.944229302,7.662402986,11.14597429,8.229384033,,,,,,,,
6,1020,5.927056179,6.100015101,6.451386758,6.84130013,,,,,,,,
6,1080,4.714446139,5.269715217,4.53675192,5.776574794,,,,,,,,
6,1140,4.022694678,4.843159509,3.652725053,5.466512191,,,,,,,,
6,1200,3.498902555,4.302379821,3.027256685,4.785158412,,,,,,,,
6,1260,3.0859495,4.0649062,2.553211174,4.671994738,,,,,,,,
6,1320,2.702944221,3.681455533,2.072281458,4.166291611,,,,,,,,
6,1380,2.454930689,3.549005967,1.822873983,4.136613668,,,,,,,,
7,0,2.146942386,3.287648806,1.402344673,3.784843111,,,,,,,,
7,60,1.983469972,3.217313116,1.225720888,3.741340381,,,,,,,,
7,120,1.789301955,3.146854875,0.996073203,3.690439388,,,,,,,,
7,180,1.582501213,3.093473417,0.755323399,3.663875689,,,,,,,,
7,240,1.355993704,3.064955903,0.496149333,3.670519089,,,,,,,,
7,300,1.099701638,3.075311153,0.211299634,3.725152875,,,,,,,,
7,360,0.771514054,3.168293808,-0.127734175,3.864214793,,,,,,,,
7,420,0.60453467,3.232743797,-0.275871572,4.00502764,,,,,,,,
7,480,2.42461589,3.33561475,2.323129858,3.993384964,,,,,,,,
7,540,6.468414384,4.498983584,8.448726021,4.565820204,,,,,,,,
7,600,10.89040982,6.311759165,14.96408855,5.430604773,,,,,,,,
7,660,14.57837645,8.85340959,20.10941859,7.648264444,,,,,,,,
7,720,16.40333169,10.95796845,22.40190903,9.681812824,,,,,,,,
7,780,17.10257185,12.06483306,23.03532552,11.26741965,,,,,,,,
7,840,15.92254876,11.50403457,21.20062392,10.9653791,,,,,,,,
7,900,13.00589203,10.0529584,17.06161029,10.28025722,,,,,,,,
7,960,8.865662906,7.566224599,11.08549912,8.12794726,,,,,,,,
7,1020,5.847421155,6.012214728,6.382218635,6.753834571,,,,,,,,
7,1080,4.634908213,5.183546106,4.460793318,5.686168891,,,,,,,,
7,1140,3.946292058,4.764514103,3.578281464,5.387633493,,,,,,,,
7,1200,3.425758294,4.224382293,2.955586396,4.703367741,,,,,,,,
7,1260,3.01530861,3.992000128,2.483436667,4.597910768,,,,,,,,
7,1320,2.635432555,3.609660682,2.00633013,4.091749619,,,,,,,,
7,1380,2.388146684,3.47971195,1.756154969,4.065212214,,,,,,,,
8,0,2.083597514,3.22025544,1.340915889,3.715589672,,,,,,,,
8,60,1.920172817,3.150758054,1.163234503,3.672799614,,,,,,,,
8,120,1.72683766,3.081212377,0.934189971,3.622775466,,,,,,,,
8,180,1.520868036,3.0286938,0.694082522,3.597007166,,,,,,,,
8,240,1.295178805,3.00097314,0.435588327,3.604338091,,,,,,,,
8,300,1.039614706,3.012034197,0.151363028,3.659504607,,,,,,,,
8,360,0.712784084,3.10483251,-0.186511924,3.798209258,,,,,,,,
8,420,0.551725375,3.167397195,-0.327579085,3.937156504,,,,,,,,
8,480,2.383592816,3.273692159,2.294235457,3.927104304,,,,,,,,
8,540,6.421779685,4.430852926,8.421482205,4.494425698,,,,,,,,
8,600,10.82415731,6.2317558,14.91820425,5.352332683,,,,,,,,
8,660,14.49085716,8.75802896,20.04275262,7.560011839,,,,,,,,
8,720,16.29856733,10.84539468,22.31765556,9.575234765,,,,,,,,
8,780,16.99129566,11.94562263,22.94359193,11.15337493,,,,,,,,
8,840,15.81814841,11.38765898,21.11654808,10.85030797,,,,,,,,
8,900,12.91838096,9.950173111,16.99529587,10.17672704,,,,,,,,
8,960,8.798746009,7.479798963,11.03934455,8.036459094,,,,,,,,
8,1020,5.77720895,5.932695499,6.324312678,6.675048379,,,,,,,,
8,1080,4.563770435,5.10507494,4.394310736,5.603673133,,,,,,,,
8,1140,3.877754231,4.693213441,3.51254161,5.316322437,,,,,,,,
8,1200,3.360138618,4.153406181,2.892203049,4.628772691,,,,,,,,
8,1260,2.951972553,3.925895225,2.421730601,4.530821185,,,,,,,,
8,1320,2.574930428,3.544429589,1.948015113,4.023903169,,,,,,,,
8,1380,2.328359217,3.416882225,1.697200798,4.000466995,,,,,,,,
9,0,2.02692731,3.159113034,1.286696754,3.652676578,,,,,,,,
9,60,1.863601522,3.090406252,1.108117124,3.610576853,,,,,,,,
9,120,1.671079236,3.021704511,0.879679064,3.561361737,,,,,,,,
9,180,1.465926143,2.969983615,0.640218646,3.536325425,,,,,,,,
9,240,1.241055278,2.943001978,0.382424751,3.544290446,,,,,,,,
9,300,0.986247383,2.954725341,0.098877939,3.599954476,,,,,,,,
9,360,0.660905417,3.047295011,-0.237693194,3.738272763,,,,,,,,
9,420,0.506480169,3.107853011,-0.370593418,3.875259601,,,,,,,,
9,480,2.351363455,3.217936652,2.276217706,3.866875972,,,,,,,,
9,540,6.385833714,4.369990573,8.407735993,4.42966666,,,,,,,,
9,600,10.77061934,6.160678574,14.88812426,5.281803684,,,,,,,,
9,660,14.4178708,8.673677829,19.99370431,7.481573576,,,,,,,,
9,720,16.20948134,10.74545231,22.25207617,9.48006847,,,,,,,,
9,780,16.89625811,11.83989648,22.87111491,11.05201783,,,,,,,,
9,840,15.72945922,11.2843195,21.05116754,10.74761142,,,,,,,,
9,900,12.84502787,9.859365974,16.94597332,10.08509007,,,,,,,,
9,960,8.743675238,7.403488527,11.00745837,7.955239973,,,,,,,,
9,1020,5.716599738,5.861793265,6.277649982,6.605270908,,,,,,,,
9,1080,4.50117091,5.034586963,4.337216858,5.529327011,,,,,,,,
9,1140,3.817189952,4.629557783,3.455375755,5.252871627,,,,,,,,
9,1200,3.302135174,4.089706776,2.836958922,4.56158241,,,,,,,,
9,1260,2.896018617,3.866866645,2.367930953,4.470991256,,,,,,,,
9,1320,2.521502868,3.486000922,1.897162598,3.962949056,,,,,,,,
9,1380,2.275619876,3.36077028,1.645822337,3.942614874,,,,,,,,
10,0,1.976974844,3.104452278,1.239491846,3.59629939,,,,,,,,
10,60,1.813780685,3.036488276,1.060150223,3.554872658,,,,,,,,
10,120,1.622030276,2.968556525,0.832296287,3.506393205,,,,,,,,
10,180,1.417655485,2.917561506,0.593460204,3.48201782,,,,,,,,
10,240,1.19357192,2.891253257,0.336350298,3.490554296,,,,,,,,
10,300,0.939504966,2.903586178,0.053484709,3.546669922,,,,,,,,
10,360,0.615717807,2.995870284,-0.281705184,3.68455888,,,,,,,,
10,420,0.468695304,3.054293439,-0.405220385,3.819479587,,,,,,,,
10,480,2.32788132,3.168550696,2.26878328,3.812851155,,,,,,,,
10,540,6.360609858,4.316645625,8.40725245,4.371723096,,,,,,,,
10,600,10.72994207,6.098850633,14.87372865,5.219257706,,,,,,,,
10,660,14.35967553,8.600773155,19.96227657,7.413291359,,,,,,,,
10,720,16.1364348,10.6586272,22.20529759,9.39672609,,,,,,,,
10,780,16.81785639,11.74818288,22.81807594,10.96383052,,,,,,,,
10,840,15.6568649,11.19451901,21.00466512,10.65774267,,,,,,,,
10,900,12.78616728,9.781007549,16.913794,10.0058051,,,,,,,,
10,960,8.700719667,7.337675402,10.98994985,7.88465184,,,,,,,,
10,1020,5.665848999,5.799855154,6.242382135,6.5448578,,,,,,,,
10,1080,4.447319389,4.972383911,4.289584921,5.463407615,,,,,,,,
10,1140,3.764777862,4.573858403,3.406809151,5.197598825,,,,,,,,
10,1200,3.251909737,4.033555635,2.789860153,4.502042307,,,,,,,,
10,1260,2.847595134,3.815201182,2.322029826,4.418712128,,,,,,,,
10,1320,2.47528616,3.43462937,1.853751548,3.909118915,,,,,,,,
10,1380,2.230053517,3.311642478,1.601985633,3.891920471,,,,,,,,
11,0,1.933856466,3.056519673,1.199258939,3.546687118,,,,,,,,
11,60,1.770812553,2.989250477,1.019273711,3.505920169,,,,,,,,
11,120,1.579775712,2.922010668,0.79195898,3.458098946,,,,,,,,
11,180,1.376123903,2.871664869,0.553704903,3.434308087,,,,,,,,
11,240,1.152773943,2.845958969,0.29723587,3.443347316,,,,,,,,
11,300,0.899399395,2.858842792,0.015013551,3.499862149,,,,,,,,
11,360,0.577184982,2.950777343,-0.31876874,3.637271354,,,,,,,,
11,420,0.438418704,3.006935286,-0.43151928,3.770015542,,,,,,,,
11,480,2.31322055,3.125767657,2.271857978,3.765235788,,,,,,,,
11,540,6.34623122,4.271095188,8.419970352,4.320827035,,,,,,,,
11,600,10.70234237,6.046615119,14.87504159,5.164973104,,,,,,,,
11,660,14.3165866,8.539745608,19.94859458,7.355534605,,,,,,,,
11,720,16.07983211,10.58541461,22.17754692,9.325640806,,,,,,,,
11,780,16.75652737,11.67101666,22.78474898,10.88931033,,,,,,,,
11,840,15.60078834,11.11876858,20.97731372,10.58117315,,,,,,,,
11,900,12.74217349,9.715575343,16.89899859,9.939344903,,,,,,,,
11,960,8.670188964,7.282751726,10.98701727,7.82507612,,,,,,,,
11,1020,5.625257106,5.747233602,6.218762802,6.494177551,,,,,,,,
11,1080,4.402466268,4.918774449,4.251579631,5.406208309,,,,,,,,
11,1140,3.720735092,4.526431537,3.366952754,5.150833613,,,,,,,,
11,1200,3.209662699,3.985231224,2.750997927,4.450413637,,,,,,,,
11,1260,2.806889873,3.77119077,2.28410518,4.374286796,,,,,,,,
11,1320,2.436455937,3.390576566,1.817845535,3.862659824,,,,,,,,
11,1380,2.191826233,3.269770848,1.565744289,3.848660962,,,,,,,,
12,0,1.897729213,3.015568643,1.166041044,3.504083697,,,,,,,,
12,60,1.73484364,2.94894619,0.985517983,3.463967173,,,,,,,,
12,120,1.544449334,2.882316743,0.758681645,3.416723399,,,,,,,,
12,180,1.341449014,2.832539475,0.520946446,3.393436393,,,,,,,,
12,240,1.118763961,2.807360601,0.265059169,3.402905074,,,,,,,,
12,300,0.866022746,2.820732309,-0.016562577,3.459762206,,,,,,,,
12,360,0.545372309,2.912248775,-0.348935422,3.596636695,,,,,,,,
12,420,0.415796051,2.966010916,-0.449390007,3.72709206,,,,,,,,
12,480,2.307530906,3.089835716,2.285504455,3.724261057,,,,,,,,
12,540,6.342876339,4.233630297,8.445934667,4.277234742,,,,,,,,
12,600,10.68808078,6.004325421,14.89217527,5.119246281,,,,,,,,
12,660,14.2889543,8.491033292,19.95285783,7.30868676,,,,,,,,
12,720,16.04010393,10.52631433,22.169112,9.267255542,,,,,,,,
12,780,16.71273192,11.60893595,22.77146403,10.82896212,,,,,,,,
12,840,15.56167637,11.0575831,20.96944103,10.5183824,,,,,,,,
12,900,12.71344558,9.663550939,16.9018826,9.88618959,,,,,,,,
12,960,8.652418438,7.239115354,10.99891384,7.776903846,,,,,,,,
12,1020,5.59515588,5.7042836,6.207117531,6.453605346,,,,,,,,
12,1080,4.366888277,4.874069865,4.223425309,5.358029156,,,,,,,,
12,1140,3.685302391,4.4875956,3.335970428,5.112911262,,,,,,,,
12,1200,3.175618043,3.945014707,2.720515663,4.406964297,,,,,,,,
12,1260,2.774114935,3.735129517,2.254288188,4.338023716,,,,,,,,
12,1320,2.405211781,3.354106956,1.789559855,3.8238255,,,,,,,,
12,1380,2.161129943,3.235429828,1.537206943,3.813119217,,,,,,,,
13,0,1.868774924,2.981855486,1.139933293,3.468739535,,,,,,,,
13,60,1.706046928,2.915831729,0.958967678,3.429267972,,,,,,,,
13,120,1.516214102,2.849727827,0.732536929,3.382517877,,,,,,,,
13,180,1.313783504,2.800434765,0.495246258,3.359650294,,,,,,,,
13,240,1.09167792,2.77570384,0.23986001,3.369471217,,,,,,,,
13,300,0.839482074,2.789496797,-0.041243851,3.426610151,,,,,,,,
13,360,0.520353845,2.880523278,-0.372242336,3.562891761,,,,,,,,
13,420,0.40105226,2.931759618,-0.458602668,3.690945259,,,,,,,,
13,480,2.311020929,3.06101061,2.30989154,3.690170069,,,,,,,,
13,540,6.350762711,4.2045496,8.485264119,4.241214196,,,,,,,,
13,600,10.68744822,5.972340838,14.92530197,5.082382616,,,,,,,,
13,660,14.27715296,8.455078964,19.97531613,7.273139206,,,,,,,,
13,720,16.01769873,10.48182854,22.18032149,9.222017981,,,,,,,,
13,780,16.68694699,11.56248068,22.77858862,10.78329474,,,,,,,,
13,840,15.53999197,11.01147931,20.9814116,10.46985353,,,,,,,,
13,900,12.70039966,9.625418706,16.92277866,9.846823604,,,,,,,,
13,960,8.647761354,7.207167957,11.02593022,7.740531253,,,,,,,,
13,1020,5.575902718,5.671361435,6.207830607,6.423520221,,,,,,,,
13,1080,4.340881531,4.838582142,4.205390425,5.319172611,,,,,,,,
13,1140,3.658736501,4.457669912,3.314062139,5.084169948,,,,,,,,
13,1200,3.150015554,3.913188028,2.698592028,4.371964649,,,,,,,,
13,1260,2.749498913,3.707312379,2.232746332,4.310233944,,,,,,,,
13,1320,2.381769131,3.325485909,1.76904425,3.792872258,,,,,,,,
13,1380,2.138174372,3.208894827,1.516520355,3.785580765,,,,,,,,
14,0,1.847191787,2.955637496,1.121065317,3.440907621,,,,,,,,
14,60,1.684614845,2.890164576,0.939747406,3.402079688,,,,,,,,
14,120,1.495253151,2.824498333,0.713637797,3.355736729,,,,,,,,
14,180,1.293301191,2.775601725,0.476706694,3.333200654,,,,,,,,
14,240,1.071676386,2.751236195,0.221724173,3.343293042,,,,,,,,
14,300,0.819917691,2.765380515,-0.058971054,3.400650156,,,,,,,,
14,360,0.502245646,2.855842298,-0.388656587,3.536278164,,,,,,,,
14,420,0.394476462,2.90442371,-0.45882151,3.661816466,,,,,,,,
14,480,2.32394542,3.03955239,2.345271411,3.663211851,,,,,,,,
14,540,6.370137709,4.184156558,8.538133259,4.2130395,,,,,,,,
14,600,10.70075873,5.951024704,14.97463916,5.054692482,,,,,,,,
14,660,14.28157495,8.432328843,20.01625663,7.249288624,,,,,,,,
14,720,16.01307806,10.45246097,22.21153398,9.190378422,,,,,,,,
14,780,16.67966131,11.53219195,22.8065177,10.75281967,,,,,,,,
14,840,15.53621006,10.98097502,21.01361694,10.43607128,,,,,,,,
14,900,12.70346465,9.601665244,16.96204674,9.821734406,,,,,,,,
14,960,8.65658465,7.1873142,11.06838465,7.716357832,,,,,,,,
14,1020,5.56787852,5.648824116,6.22134048,6.404303788,,,,,,,,
14,1080,4.324758131,4.81262309,4.197780082,5.289941599,,,,,,,,
14,1140,3.641305966,4.436974137,3.301454715,5.064949514,,,,,,,,
14,1200,3.133106455,3.890033031,2.685431432,4.345685614,,,,,,,,
14,1260,2.733282507,3.688034587,2.219673951,4.291229919,,,,,,,,
14,1320,2.36635463,3.304978825,1.756472983,3.770057116,,,,,,,,
14,1380,2.123182562,3.190441621,1.503859949,3.766332536,,,,,,,,
15,0,1.833189395,2.937172085,1.109590959,3.420841682,,,,,,,,
15,60,1.670751385,2.87220256,0.928005707,3.382660608,,,,,,,,
15,120,1.481764008,2.806883139,0.70212609,3.336635629,,,,,,,,
15,180,1.280190547,2.758291937,0.465458583,3.31433982,,,,,,,,
15,240,1.058938667,2.734205923,0.210772495,3.324619524,,,,,,,,
15,300,0.807500617,2.74862869,-0.069630121,3.382128334,,,,,,,,
15,360,0.491203819,2.838448532,-0.398078469,3.51703978,,,,,,,,
15,420,0.396417954,2.884246801,-0.449610959,3.639949409,,,,,,,,
15,480,2.34660094,3.025724001,2.391971509,3.643638698,,,,,,,,
15,540,6.408598203,4.17275824,8.619263133,4.192988455,,,,,,,,
15,600,10.73182125,5.940743616,15.04770382,5.0364896,,,,,,,,
15,660,14.3032841,8.423232139,20.07743065,7.237535965,,,,,,,,
15,720,16.02694693,10.43871647,22.26367766,9.172788954,,,,,,,,
15,780,16.69151666,11.51861178,22.8560048,10.73805036,,,,,,,,
15,840,15.55092026,10.96658871,21.06671441,10.41752122,,,,,,,,
15,900,12.72838931,9.592779157,17.03229551,9.811411944,,,,,,,,
15,960,8.681344994,7.179961392,11.13136114,7.704785487,,,,,,,,
15,1020,5.571960577,5.637022794,6.249220207,6.396336442,,,,,,,,
15,1080,4.319062643,4.79648458,4.201450679,5.270625062,,,,,,,,
15,1140,3.633427006,4.425797465,3.298747575,5.055567569,,,,,,,,
15,1200,3.125245091,3.875791002,2.68152088,4.328365544,,,,,,,,
15,1260,2.725781303,3.677543697,2.215492731,4.281285602,,,,,,,,
15,1320,2.359243474,3.292796571,1.752195576,3.755591244,,,,,,,,
15,1380,2.116413898,3.180286915,1.499553789,3.755611926,,,,,,,,
16,0,1.826995929,2.926652896,1.105781543,3.408740606,,,,,,,,
16,60,1.664677332,2.86213827,0.924003242,3.371213579,,,,,,,,
16,120,1.475956607,2.79707028,0.698244756,3.325413753,,,,,,,,
16,180,1.274651174,2.748688866,0.46172854,3.303263024,,,,,,,,
16,240,1.053654542,2.724792419,0.20721655,3.313642572,,,,,,,,
16,300,0.802411534,2.739417796,-0.073022858,3.371234791,,,,,,,,
16,360,0.487401645,2.82851686,-0.400320971,3.505366434,,,,,,,,
16,420,0.407295542,2.8714048,-0.430361178,3.62553542,,,,,,,,
16,480,2.379300267,3.019713086,2.450431466,3.631645872,,,,,,,,
16,540,6.451693226,4.17056595,8.699855369,4.18126841,,,,,,,,
16,600,10.77390635,5.941735058,15.13017011,5.027990155,,,,,,,,
16,660,14.34122213,8.428068452,20.1561905,7.238143987,,,,,,,,
16,720,16.05912058,10.44089736,22.33590032,9.169528658,,,,,,,,
16,780,16.72251717,11.52206221,22.9266275,10.73930064,,,,,,,,
16,840,15.58419742,10.9686277,21.14046484,10.41449574,,,,,,,,
16,900,12.76480553,9.599056424,17.10928099,9.8161589,,,,,,,,
16,960,8.718125378,7.185360386,11.2056032,7.706062638,,,,,,,,
16,1020,5.587470612,5.636151314,6.28973266,6.39984941,,,,,,,,
16,1080,4.323467583,4.790274626,4.215555066,5.261349431,,,,,,,,
16,1140,3.634812757,4.424215468,3.305262976,5.056150055,,,,,,,,
16,1200,3.126160829,3.870470122,2.686281927,4.320037371,,,,,,,,
16,1260,2.726729645,3.675832876,2.219686092,4.280446465,,,,,,,,
16,1320,2.360166694,3.288883055,1.755728982,3.749448447,,,,,,,,
